month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
10,Albany,56,169,0.33136094674556216
10,Allegany,8,52,0.15384615384615385
10,Bronx,657,1138,0.5773286467486819
10,Broome,40,255,0.1568627450980392
10,Cattaraugus,1,23,0.043478260869565216
10,Cayuga,0,2,0
10,Chautauqua,0,4,0
10,Chenango,0,6,0
10,Clinton,0,1,0
10,Columbia,21,69,0.30434782608695654
10,Cortland,0,4,0
10,Dutchess,22,85,0.25882352941176473
10,Erie,317,1344,0.23586309523809523
10,Essex,10,62,0.16129032258064516
10,Fulton,29,158,0.18354430379746836
10,Genesee,0,6,0
10,Greene,14,91,0.15384615384615385
10,Herkimer,6,33,0.18181818181818182
10,Jefferson,0,1,0
10,Kings,401,1135,0.35330396475770925
10,Lewis,0,1,0
10,Livingston,2,5,0.4
10,Madison,1,30,0.03333333333333333
10,Monroe,141,472,0.298728813559322
10,Montgomery,6,22,0.2727272727272727
10,Nassau,288,867,0.33217993079584773
10,New York,260,732,0.3551912568306011
10,Niagara,20,161,0.12422360248447205
10,Oneida,54,249,0.21686746987951808
10,Onondaga,137,473,0.28964059196617337
10,Ontario,13,32,0.40625
10,Orange,169,440,0.3840909090909091
10,Orleans,39,97,0.4020618556701031
10,Oswego,0,1,0
10,Putnam,4,29,0.13793103448275862
10,Queens,518,1329,0.3897667419112114
10,Rensselaer,23,63,0.36507936507936506
10,Richmond,244,414,0.5893719806763285
10,Rockland,38,140,0.2714285714285714
10,Saratoga,0,1,0
10,Schenectady,3,16,0.1875
10,Schuyler,0,8,0
10,St. Lawrence,0,1,0
10,Steuben,42,123,0.34146341463414637
10,Suffolk,554,1463,0.37867395762132605
10,Sullivan,6,158,0.0379746835443038
10,Tioga,24,105,0.22857142857142856
10,Tompkins,0,4,0
10,Ulster,42,133,0.3157894736842105
10,Warren,23,56,0.4107142857142857
10,Washington,6,0,Inf
10,Wayne,0,16,0
10,Westchester,158,858,0.18414918414918416
10,Wyoming,0,3,0
10,Yates,9,15,0.6
5,Albany,42,130,0.3230769230769231
5,Bronx,594,786,0.7557251908396947
5,Broome,21,93,0.22580645161290322
5,Chenango,0,4,0
5,Columbia,15,36,0.4166666666666667
5,Dutchess,39,123,0.3170731707317073
5,Erie,211,782,0.26982097186700765
5,Essex,0,1,0
5,Fulton,17,94,0.18085106382978725
5,Greene,14,90,0.15555555555555556
5,Kings,418,851,0.491186839012926
5,Livingston,2,4,0.5
5,Madison,1,29,0.034482758620689655
5,Monroe,102,404,0.2524752475247525
5,Montgomery,0,2,0
5,Nassau,252,610,0.4131147540983607
5,New York,305,654,0.46636085626911317
5,Niagara,4,67,0.05970149253731343
5,Oneida,20,98,0.20408163265306123
5,Onondaga,90,386,0.23316062176165803
5,Ontario,11,20,0.55
5,Orange,149,390,0.382051282051282
5,Orleans,25,85,0.29411764705882354
5,Oswego,0,1,0
5,Putnam,3,22,0.13636363636363635
5,Queens,510,914,0.5579868708971554
5,Rensselaer,17,18,0.9444444444444444
5,Richmond,239,320,0.746875
5,Rockland,26,87,0.2988505747126437
5,Saratoga,0,1,0
5,Schenectady,0,1,0
5,St. Lawrence,0,1,0
5,Steuben,13,27,0.48148148148148145
5,Suffolk,534,1325,0.4030188679245283
5,Sullivan,5,96,0.052083333333333336
5,Tioga,21,65,0.3230769230769231
5,Ulster,40,118,0.3389830508474576
5,Warren,19,51,0.37254901960784315
5,Washington,6,0,Inf
5,Westchester,112,626,0.17891373801916932
5,Wyoming,0,3,0
5,Yates,8,15,0.5333333333333333
6,Albany,44,137,0.32116788321167883
6,Bronx,637,1327,0.4800301431801055
6,Broome,30,131,0.22900763358778625
6,Cattaraugus,0,1,0
6,Chautauqua,0,1,0
6,Chenango,0,4,0
6,Columbia,21,67,0.31343283582089554
6,Dutchess,42,126,0.3333333333333333
6,Erie,277,1113,0.24887690925426775
6,Essex,0,1,0
6,Fulton,27,125,0.216
6,Genesee,0,1,0
6,Greene,14,90,0.15555555555555556
6,Kings,440,1106,0.39783001808318263
6,Livingston,2,4,0.5
6,Madison,1,29,0.034482758620689655
6,Monroe,134,434,0.3087557603686636
6,Montgomery,0,2,0
6,Nassau,278,808,0.34405940594059403
6,New York,311,707,0.43988684582743987
6,Niagara,18,108,0.16666666666666666
6,Oneida,38,182,0.2087912087912088
6,Onondaga,129,461,0.279826464208243
6,Ontario,13,30,0.43333333333333335
6,Orange,149,420,0.3547619047619048
6,Orleans,39,97,0.4020618556701031
6,Oswego,0,1,0
6,Putnam,3,25,0.12
6,Queens,531,1219,0.43560295324036097
6,Rensselaer,20,21,0.9523809523809523
6,Richmond,243,391,0.6214833759590793
6,Rockland,34,119,0.2857142857142857
6,Saratoga,0,1,0
6,Schenectady,2,5,0.4
6,St. Lawrence,0,1,0
6,Steuben,13,29,0.4482758620689655
6,Suffolk,585,1486,0.3936742934051144
6,Sullivan,6,158,0.0379746835443038
6,Tioga,22,69,0.3188405797101449
6,Ulster,41,118,0.3474576271186441
6,Warren,21,55,0.38181818181818183
6,Washington,6,0,Inf
6,Wayne,0,1,0
6,Westchester,139,775,0.17935483870967742
6,Wyoming,0,3,0
6,Yates,8,15,0.5333333333333333
7,Albany,50,155,0.3225806451612903
7,Bronx,727,1357,0.5357406042741342
7,Broome,38,182,0.2087912087912088
7,Cattaraugus,0,1,0
7,Cayuga,0,1,0
7,Chautauqua,0,1,0
7,Chenango,0,5,0
7,Clinton,0,1,0
7,Columbia,21,68,0.3088235294117647
7,Cortland,0,1,0
7,Dutchess,43,129,0.3333333333333333
7,Erie,287,1170,0.2452991452991453
7,Essex,0,1,0
7,Fulton,28,150,0.18666666666666668
7,Genesee,0,1,0
7,Greene,14,91,0.15384615384615385
7,Herkimer,0,2,0
7,Jefferson,0,1,0
7,Kings,440,1136,0.3873239436619718
7,Livingston,2,5,0.4
7,Madison,1,29,0.034482758620689655
7,Monroe,137,436,0.31422018348623854
7,Montgomery,0,4,0
7,Nassau,286,842,0.33966745843230406
7,New York,314,733,0.42837653478854026
7,Niagara,18,141,0.1276595744680851
7,Oneida,58,212,0.27358490566037735
7,Onondaga,135,463,0.2915766738660907
7,Ontario,13,30,0.43333333333333335
7,Orange,154,430,0.3581395348837209
7,Orleans,39,97,0.4020618556701031
7,Oswego,0,1,0
7,Putnam,4,25,0.16
7,Queens,571,1293,0.44160866202629545
7,Rensselaer,22,103,0.21359223300970873
7,Richmond,244,399,0.6115288220551378
7,Rockland,35,123,0.2845528455284553
7,Saratoga,0,1,0
7,Schenectady,2,7,0.2857142857142857
7,St. Lawrence,0,1,0
7,Steuben,13,29,0.4482758620689655
7,Suffolk,594,1523,0.39001969796454367
7,Sullivan,6,158,0.0379746835443038
7,Tioga,22,69,0.3188405797101449
7,Tompkins,0,1,0
7,Ulster,41,118,0.3474576271186441
