month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,fatality_rate
10,Albany,385,1210.9,0.31794532991989427
10,Allegany,115.9,748.9000000000001,0.15476031512885563
10,Bronx,3276.4,6054.5,0.5411512098439177
10,Broome,206,1238.2,0.1663705378775642
10,Cattaraugus,47.6,979.3,0.04860614724803431
10,Cayuga,0,7.4,0
10,Chautauqua,0,29.2,0
10,Chenango,0,57.599999999999994,0
10,Clinton,0,15.4,0
10,Columbia,217.7,713.9,0.3049446701218658
10,Cortland,0,27.4,0
10,Delaware,0,0,NA
10,Dutchess,153.9,459.4,0.3350021767522856
10,Erie,2232.3,10002.8,0.22316751309633306
10,Essex,133.3,823.5999999999999,0.16185041282175816
10,Franklin,0,0,NA
10,Fulton,193,1380.8000000000002,0.13977404403244495
10,Genesee,0,65.10000000000001,0
10,Greene,111.1,722.2,0.15383550263085016
10,Herkimer,42.6,236.4,0.1802030456852792
10,Jefferson,0,12,0
10,Kings,2197.2,6093.9,0.3605572785900655
10,Lewis,0,7.3,0
10,Livingston,64.5,133.9,0.4817027632561613
10,Madison,13.3,400,0.03325
10,Monroe,1095.5,3413.3,0.3209503999062491
10,Montgomery,70.6,239.7,0.29453483521068
10,Nassau,1945.3999999999999,5603.6,0.34716967663644793
10,New York,821.9,3333.6,0.24655027597792176
10,Niagara,146.7,1218.7,0.12037416919668498
10,Oneida,551.1,2078.5,0.26514313206639406
10,Onondaga,573.9,1784,0.3216928251121076
10,Ontario,406.3,718,0.5658774373259053
10,Orange,1702,4245.5999999999995,0.40088562276238937
10,Orleans,413.3,1076.5,0.38392940083604277
10,Oswego,0,5.5,0
10,Otsego,0,0,NA
10,Putnam,33.8,265.70000000000005,0.12721114038389159
10,Rensselaer,330.5,668.3000000000001,0.4945383809666317
10,Richmond,1040.9,1568.1,0.6637969517250176
10,Saratoga,0,9.1,0
10,Schenectady,22.1,116.2,0.1901893287435456
10,Schuyler,0,72.7,0
10,Seneca,0,0,NA
10,St. Lawrence,0,11,0
10,Steuben,512,1554,0.32947232947232946
10,Suffolk,3799.3,9322.6,0.40753652414562463
10,Sullivan,52.1,1653.5,0.03150892047172664
10,Tioga,157.1,889.8,0.17655652955720386
10,Tompkins,0,83.5,0
10,Ulster,283.5,806.5,0.35151890886546805
10,Warren,218.4,548.6,0.3981042654028436
10,Washington,31.4,0,Inf
10,Wayne,0,93.9,0
10,Westchester,1506.7,7305.1,0.20625316559663795
10,Wyoming,0,22.7,0
