month,county,county_monthly_occupancy,county_monthly_cases,county_monthly_prevalence
10,Albany,1519,5,0.0032916392363396972
10,Allegany,302,52,0.17218543046357615
10,Bronx,9386,9,9.588749200937567e-4
10,Broome,1298,98,0.07550077041602465
10,Cattaraugus,432,20,0.046296296296296294
10,Cayuga,457,2,0.00437636761487965
10,Chautauqua,808,3,0.0037128712871287127
10,Chemung,NA,NA,NA
10,Chenango,402,1,0.0024875621890547263
10,Clinton,382,0,0
10,Columbia,450,0,0
10,Cortland,315,0,0
10,Delaware,307,0,0
10,Dutchess,1633,0,0
10,Erie,4558,118,0.025888547608600262
10,Essex,246,0,0
10,Franklin,180,0,0
10,Fulton,312,0,0
10,Genesee,434,3,0.0069124423963133645
10,Greene,224,0,0
10,Herkimer,453,0,0
10,Jefferson,507,0,0
10,Kings,8167,58,0.0071017509489408595
10,Lewis,137,0,0
10,Livingston,275,0,0
10,Madison,320,0,0
10,Monroe,4147,7,0.0016879672052085846
10,Montgomery,526,0,0
10,Nassau,5566,6,0.0010779734099892202
10,New York,4610,6,0.0013015184381778742
10,Niagara,1154,6,0.005199306759098787
10,Oneida,2094,49,0.023400191021967526
10,Onondaga,2422,5,0.002064409578860446
10,Ontario,540,1,0.001851851851851852
10,Orange,1152,5,0.004340277777777778
10,Orleans,239,0,0
10,Oswego,464,0,0
10,Otsego,364,0,0
10,Putnam,224,3,0.013392857142857142
10,Queens,9387,22,0.0023436667731969747
10,Rensselaer,1093,17,0.01555352241537054
10,Richmond,2418,4,0.0016542597187758478
10,Rockland,1081,7,0.0064754856614246065
10,Saratoga,531,0,0
10,Schenectady,950,1,0.0010526315789473684
10,Schuyler,110,8,0.07272727272727272
10,Seneca,72,0,0
10,St. Lawrence,550,0,0
10,Steuben,541,56,0.10351201478743069
10,Suffolk,6508,13,0.001997541487400123
10,Sullivan,341,0,0
10,Tioga,223,35,0.15695067264573992
10,Tompkins,359,3,0.008356545961002786
10,Ulster,1030,3,0.002912621359223301
10,Warren,342,1,0.0029239766081871343
10,Washington,504,0,0
10,Wayne,497,11,0.022132796780684104
10,Westchester,4989,38,0.0076167568651032275
