"FAC_ID","BED_TYPE","BED_COUNT","INCLUDED_IN_OTHER_TYPES","LABEL OF FORMER VARIABLE"
"17","Residential Health Care","160","0",""
"19","Pediatric","36","1","PEDVENTCAP"
"19","Pediatric","72","1","PEDBEDS"
"19","Residential Health Care","56","0",""
"21","Residential Health Care","200","0",""
"22","Residential Health Care","210","0",""
"23","Residential Health Care","300","0",""
"27","Residential Health Care","120","0",""
"30","Residential Health Care","250","0",""
"33","Residential Health Care","127","0",""
"38","Residential Health Care","61","0",""
"41","Residential Health Care","80","0",""
"42","Transitional Care Unit","20","0",""
"48","Residential Health Care","120","0",""
"49","Residential Health Care","54","0",""
"50","Residential Health Care","344","0",""
"50","Ventilator Dependent","12","0",""
"56","Residential Health Care","160","0",""
"59","Residential Health Care","150","0",""
"60","Residential Health Care","160","0",""
"64","Residential Health Care","300","0",""
"71","Residential Health Care","120","0",""
"73","Residential Health Care","37","0",""
"81","Residential Health Care","120","0",""
"83","Residential Health Care","115","0",""
"91","Residential Health Care","92","0",""
"92","Residential Health Care","300","0",""
"96","Residential Health Care","40","0",""
"99","Residential Health Care","216","0",""
"106","Residential Health Care","146","0",""
"107","Residential Health Care","148","0",""
"112","Residential Health Care","120","0",""
"118","Transitional Care Unit","26","0",""
"119","Residential Health Care","85","0",""
"123","Residential Health Care","200","0",""
"124","Residential Health Care","305","0",""
"126","Residential Health Care","80","0",""
"129","Residential Health Care","80","0",""
"131","Residential Health Care","82","0",""
"133","Residential Health Care","242","0",""
"136","Residential Health Care","54","0",""
"139","Residential Health Care","89","0",""
"140","Residential Health Care","287","0",""
"144","Residential Health Care","80","0",""
"150","Residential Health Care","92","0",""
"152","Residential Health Care","120","0",""
"154","Residential Health Care","236","0",""
"156","Residential Health Care","120","0",""
"160","Residential Health Care","120","0",""
"161","Residential Health Care","200","0",""
"169","Residential Health Care","120","0",""
"171","Residential Health Care","82","0",""
"186","Residential Health Care","200","0",""
"189","Residential Health Care","122","0",""
"191","Residential Health Care","62","0",""
"193","Residential Health Care","100","0",""
"194","Residential Health Care","287","0",""
"195","Residential Health Care","120","0",""
"201","Residential Health Care","160","0",""
"202","Residential Health Care","120","0",""
"203","Residential Health Care","120","0",""
"214","Residential Health Care","84","0",""
"232","Residential Health Care","92","0",""
"244","Residential Health Care","173","0",""
"252","Residential Health Care","80","0",""
"254","Residential Health Care","160","0",""
"266","Residential Health Care","100","0",""
"268","Residential Health Care","160","0",""
"269","Residential Health Care","120","0",""
"272","Residential Health Care","96","0",""
"274","Residential Health Care","142","0",""
"277","Residential Health Care","140","0",""
"278","Residential Health Care","320","0",""
"281","Residential Health Care","80","0",""
"282","Residential Health Care","82","0",""
"288","Residential Health Care","272","0",""
"294","Residential Health Care","184","0",""
"296","Residential Health Care","240","0",""
"299","Residential Health Care","90","0",""
"300","Residential Health Care","160","0",""
"305","Residential Health Care","100","0",""
"310","Residential Health Care","84","0",""
"315","Residential Health Care","156","0",""
"320","Residential Health Care","60","0",""
"326","Residential Health Care","135","0",""
"331","Residential Health Care","84","0",""
"335","Residential Health Care","100","0",""
"337","Residential Health Care","176","0",""
"343","Residential Health Care","62","0",""
"344","Residential Health Care","160","0",""
"349","Residential Health Care","136","0",""
"350","Residential Health Care","120","0",""
"357","Residential Health Care","120","0",""
"360","Residential Health Care","163","0",""
"364","Residential Health Care","80","0",""
"368","Residential Health Care","272","0",""
"381","Residential Health Care","90","0",""
"384","Residential Health Care","160","0",""
"387","Residential Health Care","40","0",""
"390","Residential Health Care","266","0",""
"392","Residential Health Care","48","0",""
"398","Residential Health Care","149","0",""
"398","Ventilator Dependent","11","0",""
"403","Residential Health Care","80","0",""
"431","Residential Health Care","140","0",""
"434","Residential Health Care","28","0",""
"437","Residential Health Care","229","0",""
"440","Pediatric","0","1","PEDVENTCAP"
"440","Pediatric","5","1","PEDBEDS"
"440","Residential Health Care","541","0",""
"440","Ventilator Dependent","20","0",""
"442","Residential Health Care","455","0",""
"444","Residential Health Care","182","0",""
"446","Residential Health Care","80","0",""
"448","Residential Health Care","120","0",""
"449","Residential Health Care","200","0",""
"457","Residential Health Care","29","0",""
"459","Residential Health Care","142","0",""
"462","Residential Health Care","72","0",""
"463","Residential Health Care","54","0",""
"464","Residential Health Care","200","0",""
"465","Residential Health Care","160","0",""
"466","Residential Health Care","44","0",""
"469","Residential Health Care","120","0",""
"470","Residential Health Care","124","0",""
"472","Residential Health Care","40","0",""
"473","Residential Health Care","40","0",""
"474","Residential Health Care","120","0",""
"475","Residential Health Care","40","0",""
"476","Residential Health Care","470","0",""
"477","Residential Health Care","72","0",""
"478","Residential Health Care","48","0",""
"479","Residential Health Care","288","0",""
"481","Residential Health Care","80","0",""
"483","Residential Health Care","160","0",""
"485","Residential Health Care","120","0",""
"488","Residential Health Care","120","0",""
"489","Residential Health Care","70","0",""
"491","Residential Health Care","262","0",""
"492","Residential Health Care","102","0",""
"493","Residential Health Care","154","0",""
"496","Residential Health Care","182","0",""
"497","Residential Health Care","278","0",""
"498","Residential Health Care","150","0",""
"504","Residential Health Care","76","0",""
"504","Ventilator Dependent","24","0",""
"508","Residential Health Care","251","0",""
