"SURVEY_ID","INSPECTION_TYPE","DEFICIENCY","SEVERITY","RESIDENTS_AFFECTED","SQC","REG_SET_ID","TAG_NUMBER","CORRECTION_DATE","IS_COMPLAINT","SUPPRESS_ON_INSPECTION_TAB"
"003F","Health","ADL CARE PROVIDED FOR DEPENDENT RESIDENTS","2","2","0","FF11","0677","01/24/2020","1","0"
"00TU","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","1","0","FF11","0689","05/25/2019","1","0"
"00TU","Health","SUFFICIENT NURSING STAFF","2","2","0","FF11","0725","05/25/2019","1","0"
"019Y","Health","CARE PLAN TIMING AND REVISION","2","1","0","FF11","0657","06/26/2018","0","0"
"019Y","Health","ENCODING/TRANSMITTING RESIDENT ASSESSMENTS","2","2","0","FF11","0640","06/26/2018","0","0"
"019Y","Health","INFECTION PREVENTION & CONTROL","2","1","0","FF11","0880","06/26/2018","0","0"
"019Y","Health","LICENSE/COMPLY W/ FED/STATE/LOCL LAW/PROF STD","1","2","0","FF11","0836","06/26/2018","0","0"
"019Y","Health","RIGHT TO SURVEY RESULTS/ADVOCATE AGENCY INFO","1","2","0","FF11","0577","06/26/2018","0","0"
"019Y","Health","SERVICES PROVIDED MEET PROFESSIONAL STANDARDS","2","1","0","FF11","0658","06/26/2018","1","0"
"019Y","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","2","0","K307","0921","06/15/2018","0","0"
"019Y","LSC","EP TESTING REQUIREMENTS","1","3","0","EP01","0039","06/15/2018","0","0"
"019Y","LSC","FUNDAMENTALS - BUILDING SYSTEM CATEGORIES","2","1","0","K307","0901","06/15/2018","0","0"
"019Y","LSC","HAZARDOUS AREAS - ENCLOSURE","2","1","0","K307","0321","06/15/2018","0","0"
"019Y","LSC","LOCAL, STATE, TRIBAL COLLABORATION PROCESS","1","3","0","EP01","0009","06/15/2018","0","0"
"019Y","LSC","POLICIES/PROCEDURES-VOLUNTEERS AND STAFFING","1","3","0","EP01","0024","06/15/2018","0","0"
"019Y","LSC","PROCEDURES FOR TRACKING OF STAFF AND PATIENTS","1","3","0","EP01","0018","06/15/2018","0","0"
"019Y","LSC","ROLES UNDER A WAIVER DECLARED BY SECRETARY","1","3","0","EP01","0026","06/15/2018","0","0"
"01TN","Health","DEVELOP COMPREHENSIVE CARE PLANS","1","2","0","FF10","0279","09/12/2017","0","0"
"01TN","Health","DEVELOP/IMPLMENT ABUSE/NEGLECT, ETC POLICIES","2","1","0","FF10","0226","09/12/2017","0","0"
"01TN","Health","DIGNITY AND RESPECT OF INDIVIDUALITY","2","1","0","FF10","0241","09/12/2017","0","0"
"01TN","Health","DRUG REGIMEN IS FREE FROM UNNECESSARY DRUGS","2","2","0","FF10","0329","09/12/2017","0","0"
"01TN","Health","DRUG REGIMEN REVIEW, REPORT IRREGULAR, ACT ON","2","2","0","FF10","0428","09/12/2017","0","0"
"01TN","Health","NUTRITIVE VALUE/APPEAR, PALATABLE/PREFER TEMP","2","2","0","FF10","0364","09/12/2017","0","0"
"01TN","Health","SELF-DETERMINATION - RIGHT TO MAKE CHOICES","2","1","0","FF10","0242","09/12/2017","0","0"
"01TN","LSC","FIRE DRILLS","2","1","0","K307","0712","09/12/2017","0","0"
"01X6","Health","ACCURACY OF ASSESSMENTS","1","2","0","FF11","0641","03/26/2020","0","0"
"01X6","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","03/26/2020","0","0"
"01X6","Health","ENCODING/TRANSMITTING RESIDENT ASSESSMENTS","1","2","0","FF11","0640","03/26/2020","0","0"
"01X6","Health","QUALITY OF CARE","2","1","0","FF11","0684","03/26/2020","0","0"
"01X6","LSC","CORRIDOR - DOORS","2","1","0","K307","0363","03/12/2020","0","0"
"02BY","Health","DRUG REGIMEN IS FREE FROM UNNECESSARY DRUGS","2","1","0","FF10","0329","05/08/2017","0","0"
"02BY","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","1","0","FF10","0323","05/08/2017","0","0"
"02BY","Health","HOUSEKEEPING & MAINTENANCE SERVICES","2","1","0","FF10","0253","05/08/2017","0","0"
"02BY","Health","NOTICE OF RIGHTS, RULES, SERVICES, CHARGES","2","1","0","FF10","0156","05/08/2017","0","0"
"02BY","Health","PERSONAL PRIVACY/CONFIDENTIALITY OF RECORDS","2","1","0","FF10","0164","05/08/2017","0","0"
"02BY","Health","RIGHT TO SURVEY RESULTS - READILY ACCESSIBLE","1","2","0","FF10","0167","05/08/2017","0","0"
"02BY","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","1","0","K307","0921","06/07/2017","0","0"
"02BY","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","2","0","K307","0915","06/07/2017","0","0"
"02BY","LSC","SPRINKLER SYSTEM - INSTALLATION","2","1","0","K307","0351","06/07/2017","0","0"
"02DX","Health","ADMISSION PHYSICIAN ORDERS FOR IMMEDIATE CARE","2","1","0","FF11","0635","01/31/2020","1","0"
"02OP","Health","ACTIVITIES DAILY LIVING (ADLS)/MNTN ABILITIES","2","1","0","FF11","0676","09/16/2019","0","0"
"02OP","Health","ADL CARE PROVIDED FOR DEPENDENT RESIDENTS","2","2","0","FF11","0677","09/16/2019","0","0"
"02OP","Health","ANTIBIOTIC STEWARDSHIP PROGRAM","2","2","0","FF11","0881","09/16/2019","0","0"
"02OP","Health","BEHAVIORAL HEALTH SERVICES","2","1","0","FF11","0740","09/16/2019","0","0"
"02OP","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","09/16/2019","0","0"
"02OP","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","1","0","FF11","0812","09/16/2019","0","0"
"02OP","Health","FREE FROM ABUSE AND NEGLECT","2","2","0","FF11","0600","09/16/2019","0","0"
"02OP","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","1","0","FF11","0689","09/16/2019","1","0"
"02OP","Health","INFECTION PREVENTION & CONTROL","2","2","0","FF11","0880","09/16/2019","0","0"
"02OP","Health","LABEL/STORE DRUGS AND BIOLOGICALS","2","2","0","FF11","0761","09/16/2019","0","0"
"02OP","Health","MAINTAINS EFFECTIVE PEST CONTROL PROGRAM","2","1","0","FF11","0925","09/16/2019","0","0"
"02OP","Health","QUALITY OF CARE","2","1","0","FF11","0684","09/16/2019","1","0"
"02OP","Health","RESIDENT BED","2","1","0","FF11","0909","09/16/2019","0","0"
"02OP","Health","RESIDENT'S CARE SUPERVISED BY A PHYSICIAN","2","1","0","FF11","0710","09/16/2019","0","0"
"02OP","Health","RESPIRATORY/TRACHEOSTOMY CARE AND SUCTIONING","2","2","0","FF11","0695","09/16/2019","0","0"
"02OP","Health","RIGHT TO BE FREE FROM PHYSICAL RESTRAINTS","2","1","0","FF11","0604","09/16/2019","0","0"
"02OP","Health","SUFFICIENT NURSING STAFF","2","2","0","FF11","0725","09/16/2019","1","0"
"02OP","LSC","ELECTRICAL EQUIPMENT - POWER CORDS AND EXTENS","2","1","0","K307","0920","09/09/2019","0","0"
"02OP","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","2","0","K307","0918","09/09/2019","0","0"
"02OP","LSC","FIRE ALARM SYSTEM - INSTALLATION","2","1","0","K307","0341","09/09/2019","0","0"
"02OP","LSC","FIRE DRILLS","1","3","0","K307","0712","09/09/2019","0","0"
"02OP","LSC","GAS EQUIPMENT - TRANSFILLING CYLINDERS","2","3","0","K307","0927","09/09/2019","0","0"
"02OP","LSC","MULTIPLE OCCUPANCIES - CONSTRUCTION TYPE","2","3","0","K307","0133","09/09/2019","0","0"
"02OP","LSC","PORTABLE FIRE EXTINGUISHERS","2","3","0","K307","0355","09/09/2019","0","0"
"03X1","Health","CARE PLAN TIMING AND REVISION","2","1","0","FF11","0657","04/23/2018","0","0"
"03X1","Health","DEPARTMENT CRIMINAL HISTORY REVIEW","2","1","0","E3BP","0814","04/23/2018","0","0"
"03X1","Health","DEVELOP/IMPLEMENT ABUSE/NEGLECT POLICIES","2","1","0","FF11","0607","04/23/2018","0","0"
"03X1","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","04/23/2018","0","0"
"03X1","Health","INFECTION PREVENTION & CONTROL","2","3","0","FF11","0880","04/23/2018","0","0"
"03X1","Health","INVESTIGATE/PREVENT/CORRECT ALLEGED VIOLATION","2","1","0","FF11","0610","04/23/2018","0","0"
"03X1","LSC","BUILDING CONSTRUCTION TYPE AND HEIGHT","2","3","0","K307","0161",".","0","1"
"03X1","LSC","ESTABLISHMENT OF THE EMERGENCY PROGRAM (EP)","1","3","0","EP01","0001","04/23/2018","0","0"
"03X1","LSC","FIRE DRILLS","2","2","0","K307","0712","04/23/2018","0","0"
"04FE","Health","ADL CARE PROVIDED FOR DEPENDENT RESIDENTS","2","1","0","FF11","0677","01/03/2020","1","0"
"04FE","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","1","0","FF11","0812","01/03/2020","0","0"
"04FE","Health","FREE FROM UNNEC PSYCHOTROPIC MEDS/PRN USE","2","1","0","FF11","0758","01/03/2020","0","0"
"04FE","Health","INFECTION PREVENTION & CONTROL","2","1","0","FF11","0880","01/03/2020","1","0"
"04FE","Health","NUTRITIVE VALUE/APPEAR, PALATABLE/PREFER TEMP","2","1","0","FF11","0804","01/03/2020","0","0"
"04JO","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","04/29/2019","1","0"
"04JO","Health","POSTED NURSE STAFFING INFORMATION","2","1","0","FF11","0732","04/29/2019","1","0"
"05K6","LSC","ELEVATORS","2","2","0","K307","0531","09/24/2019","0","0"
"05K6","LSC","VERTICAL OPENINGS - ENCLOSURE","2","1","0","K307","0311","09/24/2019","0","0"
"05RU","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","2","0","FF11","0656","12/08/2018","0","0"
"05RU","Health","DRUG REGIMEN REVIEW, REPORT IRREGULAR, ACT ON","2","2","0","FF11","0756","12/08/2018","0","0"
"05RU","Health","FOOD PROCUREMENT,STORE/PREPARE/SERVE-SANITARY","2","2","0","FF11","0812","12/08/2018","0","0"
"05RU","Health","FREE OF ACCIDENT HAZARDS/SUPERVISION/DEVICES","2","2","0","FF11","0689","12/08/2018","0","0"
"05RU","Health","INFECTION PREVENTION & CONTROL","2","1","0","FF11","0880","12/08/2018","0","0"
"05RU","Health","MEDICAID/MEDICARE COVERAGE/LIABILITY NOTICE","2","1","0","FF11","0582","12/08/2018","0","0"
"05RU","Health","PERSONAL FOOD POLICY","2","2","0","FF11","0813","12/08/2018","0","0"
"05RU","Health","QUALITY OF CARE","2","1","0","FF11","0684","12/08/2018","1","0"
"05RU","Health","STANDARDS OF CONSTRUCTION FOR NEW NH","2","2","0","ZT1N","570","12/08/2018","0","0"
"05RU","LSC","DISCHARGE FROM EXITS","2","1","0","K307","0271","12/08/2018","0","0"
"05RU","LSC","ELECTRICAL EQUIPMENT - TESTING AND MAINTENANC","2","1","0","K307","0921","12/08/2018","0","0"
"05RU","LSC","ELECTRICAL SYSTEMS - ESSENTIAL ELECTRIC SYSTE","2","1","0","K307","0918","12/08/2018","0","0"
"05RU","LSC","ELECTRICAL SYSTEMS - MAINTENANCE AND TESTING","2","1","0","K307","0914","12/08/2018","0","0"
"05RU","LSC","GAS EQUIPMENT - CYLINDER AND CONTAINER STORAG","2","1","0","K307","0923","12/08/2018","0","0"
"05RU","LSC","LTC AND ICF/IID SHARING PLAN WITH PATIENTS","1","3","0","EP01","0035","12/08/2018","0","0"
"05RU","LSC","MAINTENANCE, INSPECTION & TESTING - DOORS","2","2","0","K307","0761","12/17/2018","0","0"
"05RU","LSC","POLICIES FOR EVAC. AND PRIMARY/ALT. COMM.","1","3","0","EP01","0020","12/08/2018","0","0"
"05RU","LSC","ROLES UNDER A WAIVER DECLARED BY SECRETARY","2","3","0","EP01","0026","12/08/2018","0","0"
"05RU","LSC","SMOKING REGULATIONS","2","1","0","K307","0741","12/08/2018","0","0"
"05RU","LSC","SUBDIVISION OF BUILDING SPACES - SMOKE BARRIE","2","1","0","K307","0372","12/08/2018","0","0"
"05RU","LSC","UTILITIES - GAS AND ELECTRIC","2","1","0","K307","0511","12/08/2018","0","0"
"05RU","LSC","VERTICAL OPENINGS - ENCLOSURE","2","1","0","K307","0311","12/08/2018","0","0"
"06NW","Health","DEVELOP/IMPLEMENT COMPREHENSIVE CARE PLAN","2","1","0","FF11","0656","04/22/2020","0","0"
"06NW","Health","PHYSICIAN VISITS - REVIEW CARE/NOTES/ORDER","2","1","0","FF11","0711","04/22/2020","0","0"
"06NW","LSC","STAIRWAYS AND SMOKEPROOF ENCLOSURES","2","1","0","K307","0225","03/19/2020","0","0"
"07JZ","Health","ACCURACY OF ASSESSMENTS","2","1","0","FF11","0641","03/01/2020","0","0"
"07JZ","Health","ENCODING/TRANSMITTING RESIDENT ASSESSMENTS","2","1","0","FF11","0640","03/01/2020","0","0"
"07JZ","Health","INCREASE/PREVENT DECREASE IN ROM/MOBILITY","2","1","0","FF11","0688","03/01/2020","0","0"
"07RN","Health","CARDIO-PULMONARY RESUSCITATION (CPR)","2","1","0","FF11","0678","12/13/2018","1","0"
"07S4","Health","FREE FROM UNNEC PSYCHOTROPIC MEDS/PRN USE","2","1","0","FF11","0758",".","0","0"
