"FACILITY_ID","SURVEY_DATE","DEFICIENCY CATEGORY","STIP_NUMBER","STIP_DATE","FINE_ASSESSED","FACILITY_NAME","County","STIP_PDF_NAME"
"4494","03/22/2001","Quality of Care","NH_02_001","01/03/2002","$2,000.00","Crouse Community Center Inc","Madison","pfi4494nh_02_001.pdf"
"1255",".","Multiple Deficiencies","NH_02_002","01/03/2002","$12,000.00","Bethany Nursing Home & Health Related Facility Inc","Chemung","pfi1255nh_02_002.pdf"
"595","03/12/2001","Resident Rights","NH_02_004","01/15/2002","$2,000.00","Betsy Ross Rehabilitation Center, Inc","Oneida","pfi595nh_02_004.pdf"
"139",".","Quality of Care","NH_02_005","01/15/2002","$8,000.00","Plattsburgh Rehabilitation And Nursing Center","Clinton","pfi139nh_02_005.pdf"
"343","05/18/2001","Quality of Care","NH_02_006","01/15/2002","$2,000.00","The Grand Rehabilitation And Nursing At Batavia","Genesee","pfi343nh_02_006.pdf"
"475","03/23/2000","Quality of Care","NH_02_003","01/23/2002","$2,000.00","Latta Road Nursing Home East","Monroe","pfi475nh_02_003.pdf"
"650",".","Multiple Deficiencies","NH_02_007","01/23/2002","$9,000.00","Van Duyn Center For Rehabilitation And Nursing","Onondaga","pfi650nh_02_007.pdf"
"3","01/03/2001","Quality of Care","NH_02_008","01/28/2002","$2,000.00","Childs Nursing Home Company Inc","Albany","pfi3nh_02_008.pdf"
"1154","03/09/2001","Quality of Care","NH_02_009","01/28/2002","$2,000.00","Wyoming County Community Hospital S N F","Wyoming","pfi1154nh_02_009.pdf"
"140","07/21/2000","Multiple Deficiencies","NH_02_010","01/28/2002","$4,000.00","Meadowbrook Healthcare","Clinton","pfi140nh_02_010.pdf"
"368","02/12/2001","Quality of Care","NH_02_011","02/07/2002","$2,000.00","Samaritan Keep Nursing Home Inc","Jefferson","pfi368nh_02_011.pdf"
"64","03/23/2001","Quality of Care","NH_02_012","02/14/2002","$2,000.00","Willow Point Rehabilitation And Nursing Center","Broome","pfi64nh_02_012.pdf"
"457","04/05/2001","Quality of Care","NH_02_013","02/14/2002","$2,000.00","Wedgewood Nursing Rehabilitation Center","Monroe","pfi457nh_02_013.pdf"
"976","04/04/2001","Quality of Care","NH_02_014","02/14/2002","$8,000.00","River View Rehabilitation And Nursing Care Center","Tioga","pfi976nh_02_014.pdf"
"384","10/25/2000","Quality of Care","NH_02_015","02/21/2002","$4,000.00","Lewis County General Hospital-nursing Home Unit","Lewis","pfi384nh_02_015.pdf"
"863","09/21/2000","Quality of Care","NH_02_016","02/21/2002","$2,000.00","Seneca Nursing & Rehabilitation Center, L L C","Seneca","pfi863nh_02_016.pdf"
"5714","09/07/2000","Quality of Care","NH_02_017","02/21/2002","$2,000.00","Finger Lakes Center For Living","Cayuga","pfi5714nh_02_017.pdf"
"464","02/15/2001","Quality of Care","NH_02_020","03/02/2002","$2,000.00","The Friendly Home","Monroe","pfi464nh_02_020.pdf"
"154","04/24/2001","Quality of Care","NH_02_018","03/04/2002","$3,000.00","The Grand Rehabilitation And Nursing At Barnwell","Columbia","pfi154nh_02_018.pdf"
"1013","01/25/2001","Quality of Care","NH_02_019","03/04/2002","$4,000.00","Elderwood At North Creek","Warren","pfi1013nh_02_019.pdf"
"4107","03/17/2000","Multiple Deficiencies","NH_02_021","03/07/2002","$4,000.00","St Johnsville Rehabilitation And Nursing Center","Montgomery","pfi4107nh_02_021.pdf"
"21","08/04/2000","Multiple Deficiencies","NH_02_022","03/22/2002","$6,000.00","Hudson Park Rehabilitation And Nursing Center","Albany","pfi21nh_02_022.pdf"
"479",".","Quality of Care","NH_02_023","03/28/2002","$6,000.00","Hill Haven Nursing Home","Monroe","pfi479nh_02_023.pdf"
"284",".","Quality of Care","NH_02_025","03/29/2002","$6,000.00","Absolut Ctr For Nursing & Rehab Orchard Park L L C","Erie","pfi284nh_02_025.pdf"
"4148","02/13/2001","Quality of Care","NH_02_024","04/02/2002","$2,000.00","Ellis Residential & Rehabilitation Center","Schenectady","pfi4148nh_02_024.pdf"
"378","04/05/2001","Quality of Care","NH_02_026","04/03/2002","$2,000.00","River Hospital Inc","Jefferson","pfi378nh_02_026.pdf"
"3910",".","Quality of Care","NH_02_027","04/18/2002","$4,000.00","Eden Rehabilitation Nursing Center","Erie","pfi3910nh_02_027.pdf"
"462","10/11/2001","Quality of Care","NH_02_028","04/23/2002","$2,000.00","Maplewood Nursing Home Inc","Monroe","pfi462nh_02_028.pdf"
"454",".","Multiple Deficiencies","NH_02_029","05/02/2002","$6,000.00","Wesley On East  Ltd","Monroe","pfi454nh_02_029.pdf"
"463","06/13/2001","Multiple Deficiencies","NH_02_030","05/07/2002","$3,000.00","The Brightonian, Inc","Monroe","pfi463nh_02_030.pdf"
"806","11/22/2000","Quality of Care","NH_02_031","05/07/2002","$1,000.00","Massena Rehabilitation & Nursing Center","Saint Lawrence","pfi806nh_02_031.pdf"
"171","11/07/2001","Quality of Care","NH_02_032","05/09/2002","$6,000.00","Mountainside Residential Care Center","Delaware","pfi171nh_02_032.pdf"
"1679","09/24/2001","Multiple Deficiencies","NH_02_033","05/15/2002","$12,000.00","Far Rockaway Center For Rehabilitation And Nursing","Queens","pfi1679nh_02_033.pdf"
"335","11/07/2000","Quality of Care","NH_02_034","05/29/2002","$1,000.00","Wells Nursing Home Inc","Fulton","pfi335nh_02_034.pdf"
"6171","05/01/2001","Multiple Deficiencies","NH_02_036","06/03/2002","$32,000.00","Putnam Ridge","Putnam","pfi6171nh_02_036.pdf"
"91","05/14/2001","Quality of Care","NH_02_035","06/04/2002","$2,000.00","Auburn Rehabilitation & Nursing Center","Cayuga","pfi91nh_02_035.pdf"
"1157","01/25/2001","Quality of Care","NH_02_037","06/06/2002","$2,000.00","Manor Oak Skilled Nursing Facilities Warsaw","Wyoming","pfi1157nh_02_037.pdf"
"1157",".","Quality of Care","NH_02_038","06/06/2002","$3,000.00","Manor Oak Skilled Nursing Facilities Warsaw","Wyoming","pfi1157nh_02_038.pdf"
"242",".","Quality of Care","NH_02_039","06/06/2002","$4,000.00","Manor Oak Skilled Nursing Facilities Cheektowaga","Erie","pfi242nh_02_039.pdf"
"772",".","Quality of Care","NH_02_040","06/11/2002","$4,000.00","Diamond Hill Nursing And Rehabilitation Center","Rensselaer","pfi772nh_02_040.pdf"
"839","01/26/2001","Quality of Care","NH_02_041","06/17/2002","$8,000.00","Schenectady Center For Rehabilitation And Nursing","Schenectady","pfi839nh_02_041.pdf"
"50","08/09/2001","Quality of Care","NH_02_042","06/19/2002","$2,000.00","Bridgewater Center For Rehab & Nursing L L C","Broome","pfi50nh_02_042.pdf"
"1219","07/25/2000","Multiple Deficiencies","NH_02_043","06/21/2002","$12,000.00","Workmens Circle Multicare Center","Bronx","pfi1219nh_02_043.pdf"
"802","02/26/2001","Multiple Deficiencies","NH_02_044","06/25/2002","$6,000.00","United Helpers Nursing Home","Saint Lawrence","pfi802nh_02_044.pdf"
"139","01/17/2002","Quality of Care","NH_02_045","07/16/2002","$2,000.00","Plattsburgh Rehabilitation And Nursing Center","Clinton","pfi139nh_02_045.pdf"
"3984","03/01/2001","Resident Rights","NH_02_046","07/16/2002","$2,000.00","Elizabeth Seton Pediatric Center","Westchester","pfi3984nh_02_046.pdf"
"841","08/17/2001","Quality of Care","NH_02_047","07/16/2002","$2,000.00","Kingsway Arms Nursing Center Inc","Schenectady","pfi841nh_02_047.pdf"
"594","01/25/2001","Quality of Care","NH_02_048","07/16/2002","$2,000.00","Bethany Gardens Skilled Living Center","Oneida","pfi594nh_02_048.pdf"
"437","11/01/2001","Quality of Care","NH_02_049","07/17/2002","$2,000.00","The Shore Winds, L L C","Monroe","pfi437nh_02_049.pdf"
