"FACILITY_ID","FACILITY_NAME","CERTIFICATION_NUMBER","AREA_OFFICE_ABBREV","FACILITY_ADDRESS_1","FACILITY_ADDRESS_2","FACILITY_CITY","FACILITY_ZIP","COUNTY","PHONE","FACILITY_WEBSITE","OPERATOR","OPERATOR_ADDRESS_1","OPERATOR_ADDRESS_2","OPERATOR_CITY","OPERATOR_STATE","OPERATOR_ZIP","MEDICARE_CERTIFIED","MEDICARE_NUMBER","MEDICAID_CERTIFIED","OWNERSHIP","MULTICAMPUS_FACILITY_ID","NOTES","OCCUPANCY_RATE","OCCUPANCY_REPORT_DATE","OCCUPANCY_EXCEPTION_COMMENT","AVERAGE_OCCUPIED_BEDS","INSP_STANDARD_HEALTH","INSP_LSC","INSP_TOTAL","INSP_HARM","INSP_PERCENT_HARM","COMP_RECEIVED","COMP_RECEIVED_PER_100","COMP_SELF_REPORTED","COMP_ONSITE","COMP_CITATIONS","COMP_CITATIONS_PER_100","ALL_SURVEYS","COMP_DEF_ADMINISTRATION","COMP_DEF_QUALITY_OF_CARE","COMP_DEF_RESIDENT_RIGHTS","COMP_DEF_RESIDENT_ASSESSMENT","COMP_DEF_DIETARY_SERVICES","COMP_DEF_PHYSICAL_ENVIRONMENT","COMP_DEF_OTHER_SERVICES","COMP_DEF_TOTAL","TOTAL_BEDS","EMPLOYEE_FLU_VACCINATION_RATE","VACCINATION_RATE_REPORT_DATE"
"17","St. Peter's Nursing And Rehabilitation Center","0101305N","4TROY","301 Hackett Blvd","","Albany","12208","Albany","5185257600","#http://www.sphp.com/st-peters-nursing-rehabilitation-cc#","Villa Mary Immaculate","St Elizabeth Motherhouse","","Allegany","NY","14706","1","335128","1","Voluntary--Not for Profit Corporation","","","0.74","21OCT2020","","149","16","9","25","0","0.00","90","60.2","0.78","13","5","3.3","5","1","2","0","1","0","0","1","5","160","0.91","31OCT2019"
"19","St. Margaret's Center","0101307N","4TROY","27 Hackett Boulevard","","Albany","12208","Albany","5185913300","#http://www.stmargaretscenter.org/htmlweb/homepage.html#","Center for Disability Services Holding Corporation","314 South Manning Boulevard","","Albany","NY","12208","1","335830","1","Voluntary--Not for Profit Corporation","","","0.93","21OCT2020","","81","25","10","35","0","0.00","38","46.9","0.32","14","5","6.2","8","1","2","0","1","0","0","1","5","92","0.97","31OCT2019"
"21","Hudson Park Rehabilitation and Nursing Center","0101315N","4TROY","325 Northern Boulevard","","Albany","12204","Albany","5184491100","#http://www.hudsonparkrehab.com/#","JBRNC, LLC","1 Hillcrest Center Drive","Suite #225","Spring Valley","NY","10977","1","335812","1","Proprietary--LLC","","","0.83","21OCT2020","","190","28","15","43","0","0.00","194","102.0","0.38","34","12","6.3","11","0","3","4","0","1","1","2","11","200","0.93","31OCT2019"
"22","Daughters of Sarah Nursing Center","0101312N","4TROY","180 Washington Avenue Extension","","Albany","12203","Albany","5184567831","#http://www.daughtersofsarah.org/nursingcenter/overview.html#","Daughters of Sarah Nursing Home Co Inc","Washington Ave And Rapp Rd","","Albany","NY","12203","1","335465","1","Voluntary--Not for Profit Corporation","","","0.91","21OCT2020","","203","21","6","27","2","0.07","182","89.7","0.86","29","9","4.4","8","0","4","3","0","1","0","1","9","210","0.95","31OCT2019"
"23","Teresian House Nursing Home Co Inc","0101313N","4TROY","200 Washington Ave Ext","","Albany","12203","Albany","5184562000","#http://www.teresianhouse.com/#","Teresian House Nursing Home Co Inc","Washington Avenue Ext","","Albany","NY","12203","1","335627","1","Voluntary--Not for Profit Corporation","","","0.75","21OCT2020","","294","24","13","37","0","0.00","68","23.1","0.60","16","6","2.0","6","1","2","2","1","0","0","0","6","300","0.83","31OCT2019"
"27","Delmar Center for Rehabilitation and Nursing","0151300N","4TROY","125 Rockefeller Road","","Delmar","12054","Albany","5186211200","#http://www.goodsamvillage.org/#","Delmar SNF Operations Associates, LLC","125 Rockefeller Road","","Delmar","NY","12054","1","335735","1","Proprietary--LLC","","","0.97","21OCT2020","","108","51","29","80","3","0.04","121","112.4","0.55","25","6","5.6","8","0","1","0","1","0","3","1","6","120","0.65","31OCT2019"
"30","Shaker Place Rehabilitation and Nursing Center","0153302N","4TROY","100 Heritage Lane","","Albany","12211","Albany","5188692231","#http://www.albanycounty.com/Government/Departments/NursingHomeResidentialHealthCareFacilities.aspx#","County of Albany","112 State Street","","Albany","NY","12207","1","335425","1","Public--County","","","0.68","21OCT2020","","220","19","11","30","0","0.00","53","24.1","0.38","12","2","0.9","6","0","1","1","0","0","0","0","2","250","0.86","31OCT2019"
"33","The Grand Rehabilitation and Nursing at Guilderland","0155304N","4TROY","428 State Route 146","","Altamont","12009","Albany","5188615141","#http://thegrandhealthcare.com#","Guilderland Operator, LLC","428 State Route 146","","Altamont","NY","12009","1","335540","1","Proprietary--LLC","","","0.87","21OCT2020","","115","44","23","67","1","0.01","157","136.8","0.38","34","11","9.6","9","0","3","3","3","0","0","1","11","127","0.00","01JAN1960"
"38","Cuba Memorial Hospital Inc SNF","0226000N","1BUFF","140 West Main Street","","Cuba","14727","Allegany","5859682000","#http://www.cubamemorialhospital.com/longtermcare/#","Cuba Memorial Hospital Inc","140 West Main St","","Cuba","NY","14727","1","335364","1","Voluntary--Not for Profit Corporation","","","0.80","21OCT2020","","56","19","24","43","0","0.00","55","98.7","0.80","14","3","5.4","5","0","0","1","0","0","0","2","3","61","0.00","01JAN1960"
"41","Highland Park Rehabilitation and Nursing Center","0228306N","1BUFF","160 Seneca St","","Wellsville","14895","Allegany","5855933750","#http://www.highlandparkrehab.com/#","HRNC, LLC","1 Hillcrest Center Drive","Suite 225","Spring Valley","NY","10977","1","335210","1","Proprietary--LLC","","","0.93","21OCT2020","","76","14","13","27","0","0.00","49","64.5","0.86","13","5","6.6","6","0","2","1","1","0","0","1","5","80","0.96","31OCT2019"
