"REG_SET_ID","TAG_NUMBER","CFR","TAG_TYPE","TAG_TITLE","TAG_TEXT"
"4FGA","4005","400.2","L","OTHER LAWS, CODES, RULES AND REGULATIONS.","Medical facilities issued operating certificates or certificates of approval shall comply with all pertinent Federal laws and regulations enacted pursuant thereto, applicable State law, including the Public Health Law and the Mental Hygiene Law and codes, rules and regulations having general application.	
"
"4FGA","4073","400.10","L","HEALTH PROVIDER NETWORK ACCESS AND REPORTING","The operator of a facility shall obtain from the department ' s health provider network (HPN), HPN accounts for each facility he or she operates and ensure that sufficient, knowledgeable staff will be available to and shall maintain and keep current such accounts. At a minimum, 24-hour, seven-day-a-week contacts for emergency communication and alerts must be designated by each facility in the HPN communications directory. A policy defining the facility's HPN coverage consistent with the facility ' s hours of operation, shall be created and reviewed by the facility no less than annually.  

"
"4FGA","4075","400.10 (b)","L","HEALTH PROVIDER NETWORK ACCESS AND REPORTING","
The operator of a facility shall obtain from the department ' s health provider network (HPN), HPN accounts for each facility he or she operates and ensure that sufficient, knowledgeable staff will be available to and shall maintain and keep current such accounts. At a minimum, 24-hour, seven-day-a-week contacts for emergency communication and alerts must be designated by each facility in the HPN communications directory. A policy defining the facility's HPN coverage consistent with the facility ' s hours of operation, shall be created and reviewed by the facility no less than annually.  Maintenance of each facility ' s HPN accounts shall consist of, at a minimum, the following: 
(b)  designation by the facility operator of sufficient staff users of the HPN accounts to ensure rapid response to requests for information by the State and/or local Department of Health.
"
"4FGA","4077","400.10 (d)","L","HEALTH PROVIDER NETWORK ACCESS AND REPORTING","The operator of a facility shall obtain from the department ' s health provider network (HPN), HPN accounts for each facility he or she operates and ensure that sufficient, knowledgeable staff will be available to and shall maintain and keep current such accounts. At a minimum, 24-hour, seven-day-a-week contacts for emergency communication and alerts must be designated by each facility in the HPN communications directory. A policy defining the facility's HPN coverage consistent with the facility ' s hours of operation, shall be created and reviewed by the facility no less than annually.  Maintenance of each facility ' s HPN accounts shall consist of, at a minimum, the following:
(d)  current and complete updates of the communications directory reflecting changes that include, but are not limited to, general information and personnel role changes as soon as they occur, and at a minimum, on a monthly basis.

"
"4FGA","4090","400.12","L","SCREEN FORM.","NOTE:    See Official Compilation for copy of Form DOH 695 (4/93). Title of form is ""SCREEN"".

To view a copy of the ""SCREEN"" form, contact the NYS Department of Health, Division of Health Care Financing, Bureau of Financial Management and Information Support, Empire State Plaza, Room 984, Albany, New York 122 37 (518) 474-1673.	
"
"E3BP","0400","402.3","L","DEFINITIONS","Section 402.3 Definitions.  

For purposes of this Part, the following terms shall have the following meanings.

(a) ""Authorized person"" means each individual designated by a provider who is authorized to request, receive and review criminal history information in accordance with this Part.

(b) ""Commissioner"" means the Commissioner of the New York State Department of Health.

(c) ""Criminal history information"" means a record of pending New York State criminal charges, New York State criminal convictions which have not been vacated or reversed, information from the Federal Bureau of Investigation (FBI) obtained as a result of a national criminal history record check, and certificates of relief from disabilities or certificates of good conduct filed pursuant to subdivision two of section seven hundred five of the Correction Law and which the Division is required to maintain pursuant to subdivision (6) of section 837 of the Executive Law.

(d) ""Criminal conviction"" means a judgment or sentence for a charge of a felony or misdemeanor under New York State law or a comparable crime under any other jurisdiction.

(e) ""Department"" means the New York State Department of Health.

(f) ""Determination"" means the decision made by the Department after reviewing criminal history information to approve or disapprove a prospective employee's eligibility for employment by a provider.

(g) ""Division"" means the New York State Division of Criminal Justice Services.

(h) ""Permanent record"" means a permanent, written record of a determination and the criminal history information maintained by the Department.

(i) ""Employee in direct care and supervision"" means

(1) any unlicensed person employed by or used by a nursing home, licensed pursuant to Article 28 of the Public Health Law, who has physical access to a resident's living quarters, or any unlicensed person providing face-to-face care following the resident's care plan in accordance with Section 410.2(h) of this Title;

(2) any unlicensed person employed by or used by a certified home health agency, licensed home care services agency, or long term home health care program pursuant to Article 36 of the Public Health Law, providing face-to-face care following the professional or paraprofessional plan of care developed for the individual patient in accordance with section 766.3 or 763.6 of this Title;

(3) any unlicensed person employed by or used by an adult home, enriched housing program, or residence for adults who provides residents face-to-face care or has physical access to a resident's living quarters; or

(4) any unlicensed person employed by or used by a hospice program certified under Article 40 of the Public Health Law who provides patients face-to-face care following the professional or paraprofessional plan of care developed for the individual patient in accordance with section 793.4 of this Title. 

(j) ""Prospective employee"" means any person to be employed or used by a provider, including those persons provided by a temporary employment agency, to provide direct care or supervision to patients, residents or clients, and whom the provider reasonably expects to hire, employ or use, where such person is hired, employed or used by:

(i) a residential health care facility on or after September 1, 2006;

(ii) a certified home health agency, licensed home care services agency, or long term home health care program on or after September 1, 2006;

(iii) an adult home, enriched housing program, or residence for adults on or after January 1, 2015; or

(iv) a hospice program on or after April 1, 2018.

Persons licensed pursuant to Title 8 of the Education Law or Article 28-D of the Public Health Law are excluded from the meaning of the term. Such term shall not include volunteers.

(k) ""Provider"" means any entity subject to this Part as enumerated in section 402.2 of this Part.

(l) ""Subject individual"" means a person for whom a provider is authorized to request a check of criminal history information pursuant to section 845-b of the Executive Law, Article 28-E of the Public Health Law, and this Part.

(m) ""Temporary employee"" means a prospective employee who has been temporarily approved by a provider for employment after a request for a criminal history record check and pending a determination by the Department.




















"
"E3BP","0504","402.4(a)(1)","L","GENERAL REQUIREMENTS","Section 402.4 General Requirements.   

        (a)

            (1) Each provider shall assure that criminal history information is requested, received, reviewed, and acted upon in a timely manner. Each provider shall designate one authorized person or, when necessary, to assure compliance with this Part more authorized persons, and shall submit the name, position, and contact information for each authorized person to the Department in the form and format required by the Department.   



"
"E3BP","0514","402.4(b)(2)(i)","L","GENERAL REQUIREMENTS","Section 402.4 General Requirements.   
        ......
        (b) Each provider shall develop and implement written policies and procedures related to conducting criminal history record checks. Such policies and procedures shall include criteria for:   
            ......
            (2) protecting the safety of persons receiving services from temporary employees as follows:   

                (i) Residential Health Care Facilities shall ensure that temporary employees do not have unsupervised physical contact with patients, by utilizing a person employed by the provider on the same nursing unit as the temporary employee, but such person employed by the provider need not be employed in the same department as the temporary employee. Such person must know the identity and assignment of each temporary employee so supervised in the residential health care facility at all times. Supervision must be documented in writing on a weekly basis and maintained in the temporary employee's personnel folder.   



"
"E3BP","0610","402.5(c)","L","REQUIREMENTS BEFORE SUBMITTING A REQUEST FOR","Section 402.5 Requirements Before Submitting a Request for a Criminal History Record Check.   
        ......
        (c) The provider shall obtain the signed, informed consent of the subject individual in the form and format specified by the Department which indicates that the subject individual has:   

            (1) been informed of the right and procedures necessary to obtain, review and seek correction of his or her criminal history information;   

            (2) been informed of the reason for the request for his or her criminal history information;   

            (3) consented to the request for a criminal history record check; and   

            (4) supplied on the form a current mailing or home address.   


"
"E3BP","0702","402.6(a)","L","CRIMINAL HISTORY RECORD CHECK PROCESS","Section 402.6 Criminal History Record Check Process.   

        (a) The provider shall ensure the submission of a request for a criminal history record check for each prospective employee. If a permanent record does not exist for the prospective employee, the Department shall be authorized to request and receive criminal history information from the Division concerning the prospective employee in accordance with the provisions of section 845-b of the Executive Law. Access to and the use of such information shall be governed by the provisions of such section of the Executive Law. The Division is authorized to submit fingerprints to the FBI for a national criminal history record check.   


"
