"FACILITY_ID","SURVEY_ID","INITIAL_SURVEY_DATE","SURVEY_TYPE","TOTAL_VISITS_REQUIRED"
"17","27KE","11/17/2016","COMPLAINT","2"
"17","C2JB","02/15/2019","CERTIFICATION/COMPLAINT","2"
"17","P1X8","07/20/2020","COMPLAINT","1"
"17","QVV3","05/16/2020","COMPLAINT","1"
"17","YIY3","05/11/2017","CERTIFICATION/COMPLAINT","2"
"19","5636","06/08/2020","COMPLAINT","1"
"19","7IVN","10/07/2020","COMPLAINT","1"
"19","7J41","07/28/2017","CERTIFICATION/COMPLAINT","2"
"19","E5HF","08/13/2020","COMPLAINT","1"
"19","OGEJ","02/11/2020","CERTIFICATION","2"
"19","P2CP","10/09/2019","COMPLAINT","2"
"19","V4OE","03/13/2019","CERTIFICATION/COMPLAINT","2"
"19","WUZL","09/17/2020","COMPLAINT","1"
"21","1D8C","07/22/2020","COMPLAINT","2"
"21","9G3M","10/16/2017","CERTIFICATION/COMPLAINT","2"
"21","BPTF","05/16/2019","COMPLAINT","2"
"21","BXSR","08/11/2020","COMPLAINT","2"
"21","IG65","10/08/2020","COMPLAINT","1"
"21","JW9F","09/23/2020","COMPLAINT","1"
"21","K0JV","11/27/2019","COMPLAINT","2"
"21","LWHY","06/28/2019","CERTIFICATION/COMPLAINT","2"
"21","QBSU","11/22/2017","COMPLAINT","2"
"21","XCQ8","06/26/2019","COMPLAINT","2"
"21","YCQI","05/08/2020","COMPLAINT","1"
"22","309L","07/13/2017","CERTIFICATION/COMPLAINT","2"
"22","5K6W","05/19/2020","COMPLAINT","1"
"22","9ESG","09/13/2018","COMPLAINT","2"
"22","BO4T","08/12/2020","COMPLAINT","1"
"22","E1S5","05/24/2019","CERTIFICATION/COMPLAINT","2"
"22","JCCT","07/11/2020","COMPLAINT","1"
"22","K8CO","09/26/2019","COMPLAINT","2"
"22","T6XY","08/18/2020","COMPLAINT","2"
"23","33N9","05/04/2020","COMPLAINT","1"
"23","3H81","07/10/2018","COMPLAINT","2"
"23","7VN4","04/16/2018","CERTIFICATION/COMPLAINT","2"
"23","F63H","12/27/2019","COMPLAINT","2"
"23","IOKD","10/09/2020","COMPLAINT","1"
"23","OO8A","10/10/2019","CERTIFICATION/COMPLAINT","2"
"27","56QG","01/09/2020","COMPLAINT","2"
"27","D616","05/29/2020","COMPLAINT","1"
"27","DOEU","09/28/2020","COMPLAINT","1"
"27","I4RU","04/20/2017","CERTIFICATION","3"
"27","KELM","01/24/2019","CERTIFICATION/COMPLAINT","2"
"27","MEWO","07/30/2020","COMPLAINT","1"
"27","RX2I","10/19/2018","COMPLAINT","2"
"27","W3FV","09/16/2020","CERTIFICATION","1"
"30","1GNT","08/09/2017","CERTIFICATION","2"
"30","6XXV","04/26/2018","COMPLAINT","2"
"30","B7RQ","06/23/2017","COMPLAINT","2"
"30","G29V","04/30/2019","CERTIFICATION","2"
"30","J1XX","07/25/2020","COMPLAINT","1"
"30","Z2QV","05/08/2020","COMPLAINT","1"
"33","8XYH","02/22/2018","CERTIFICATION/COMPLAINT","2"
"33","CJK9","06/30/2020","COMPLAINT","1"
"33","FKM7","08/27/2019","CERTIFICATION/COMPLAINT","2"
