month,county,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly
5,Albany,1,1,1
5,Allegany,1,0,0
5,Bronx,1,1,1
5,Broome,1,1,1
5,Cattaraugus,1,0,0
5,Cayuga,1,1,0
5,Chautauqua,1,1,0
5,Chemung,1,1,0
5,Chenango,1,1,0
5,Clinton,1,1,0
5,Columbia,1,0,0
5,Cortland,1,0,0
5,Delaware,1,1,0
5,Dutchess,1,1,1
5,Erie,1,1,1
5,Essex,1,1,0
5,Franklin,1,1,0
5,Fulton,1,1,0
5,Genesee,1,1,0
5,Greene,1,0,0
5,Herkimer,1,1,0
5,Jefferson,1,0,0
5,Kings,1,1,1
5,Lewis,1,1,0
5,Livingston,1,1,0
5,Madison,1,0,0
5,Monroe,1,1,1
5,Montgomery,1,0,0
5,Nassau,1,1,1
5,New York,1,1,1
5,Niagara,1,1,0
5,Oneida,1,1,1
5,Onondaga,1,1,0
5,Ontario,1,1,1
5,Orange,1,1,0
5,Orleans,1,0,0
5,Oswego,1,0,0
5,Otsego,1,1,0
5,Putnam,1,1,0
5,Queens,1,1,1
5,Rensselaer,1,1,0
5,Richmond,1,1,1
5,Rockland,1,1,1
5,Saratoga,1,1,0
5,Schenectady,1,1,1
5,Schuyler,1,0,0
5,Seneca,1,1,0
5,St. Lawrence,1,1,0
5,Steuben,1,1,0
5,Suffolk,1,1,1
5,Sullivan,1,1,0
5,Tioga,1,1,0
5,Tompkins,1,1,0
5,Ulster,1,1,1
5,Warren,1,1,0
5,Washington,1,1,0
5,Wayne,1,1,0
5,Westchester,1,1,1
5,Wyoming,1,1,0
5,Yates,1,1,0
6,Albany,1,1,1
6,Allegany,1,1,0
6,Bronx,1,1,1
6,Broome,1,1,1
6,Cattaraugus,1,1,0
6,Cayuga,1,1,0
6,Chautauqua,1,1,0
6,Chemung,1,1,0
6,Chenango,1,1,0
6,Clinton,1,1,0
6,Columbia,1,1,0
6,Cortland,1,0,0
6,Delaware,1,1,0
6,Dutchess,1,1,1
6,Erie,1,1,1
6,Essex,1,1,0
6,Franklin,1,1,0
6,Fulton,1,1,0
6,Genesee,1,1,0
6,Greene,1,0,0
6,Herkimer,1,1,0
6,Jefferson,1,1,0
6,Kings,1,1,1
6,Lewis,1,1,0
6,Livingston,1,1,0
6,Madison,1,0,1
6,Monroe,1,1,1
6,Montgomery,1,1,0
6,Nassau,1,1,1
6,New York,1,1,1
6,Niagara,1,1,0
6,Oneida,1,1,1
6,Onondaga,1,1,0
6,Ontario,1,1,1
6,Orange,1,1,0
6,Orleans,1,1,0
6,Oswego,1,1,0
6,Otsego,1,1,0
6,Putnam,1,1,0
6,Queens,1,1,1
6,Rensselaer,1,1,0
6,Richmond,1,1,1
6,Rockland,1,1,1
6,Saratoga,1,1,0
6,Schenectady,1,1,1
6,Schuyler,1,0,0
6,Seneca,1,1,0
6,St. Lawrence,1,1,0
6,Steuben,1,1,0
6,Suffolk,1,1,1
6,Sullivan,1,1,0
6,Tioga,1,1,0
6,Tompkins,1,1,0
6,Ulster,1,1,1
6,Warren,1,1,0
6,Washington,1,1,0
6,Wayne,1,1,0
6,Westchester,1,1,1
6,Wyoming,1,0,0
6,Yates,1,0,0
7,Albany,1,1,1
7,Allegany,1,1,0
7,Bronx,1,1,1
7,Broome,1,1,1
7,Cattaraugus,1,1,0
7,Cayuga,1,1,0
7,Chautauqua,1,1,0
7,Chemung,1,1,0
7,Chenango,1,1,0
7,Clinton,1,1,0
7,Columbia,1,1,0
7,Cortland,1,0,0
7,Delaware,1,1,0
7,Dutchess,1,1,1
7,Erie,1,1,1
7,Essex,1,1,0
7,Franklin,1,1,0
7,Fulton,1,1,0
7,Genesee,1,1,0
7,Greene,1,1,0
7,Herkimer,1,1,0
7,Jefferson,1,1,0
7,Kings,1,1,1
7,Lewis,1,0,0
7,Livingston,1,1,0
7,Madison,1,0,1
7,Monroe,1,1,1
7,Montgomery,1,1,0
7,Nassau,1,1,1
7,New York,1,1,1
