county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Albany,3/1/2020,240,3704,0.064794816,0.004166667
Albany,4/1/2020,964,6984,0.138029782,0.025747508
Albany,5/1/2020,678,14613,0.046397044,0.052603613
Albany,6/1/2020,230,23788,0.009668741,0.051136364
Albany,7/1/2020,403,27414,0.014700518,0.045725646
Albany,8/1/2020,271,32030,0.008460818,0.04379038
Albany,9/1/2020,347,30415,0.011408844,0.039259496
Albany,10/1/2020,617,47692,0.01293718,0.034666667
Albany,11/1/2020,779,33750,0.023081481,0.029807905
Allegany,3/1/2020,9,135,0.066666667,0.111111111
Allegany,4/1/2020,26,428,0.060747664,0.057142857
Allegany,5/1/2020,13,1372,0.009475219,0.041666667
Allegany,6/1/2020,13,4083,0.003183933,0.032786885
Allegany,7/1/2020,13,3246,0.004004929,0.027027027
Allegany,8/1/2020,15,4503,0.003331113,0.02247191
Allegany,9/1/2020,30,4536,0.006613757,0.033613445
Allegany,10/1/2020,229,8795,0.026037521,0.040229885
Allegany,11/1/2020,296,5131,0.05768856,0.054347826
Bronx,3/1/2020,8861,18157,0.488021149,0.029567769
Bronx,4/1/2020,28924,74898,0.386178536,0.091570729
Bronx,5/1/2020,7574,99691,0.075974762,0.098503053
Bronx,6/1/2020,2292,137268,0.016697264,0.099871986
Bronx,7/1/2020,1975,139839,0.014123385,0.09779148
Bronx,8/1/2020,2037,171837,0.011854257,0.095019647
Bronx,9/1/2020,1506,170630,0.008826115,0.093136978
Bronx,10/1/2020,2743,208777,0.01313842,0.089336815
Bronx,11/1/2020,2800,116362,0.024062838,0.08548508
Broome,3/1/2020,42,368,0.114130435,0.071428571
Broome,4/1/2020,257,2103,0.122206372,0.050167224
Broome,5/1/2020,275,13809,0.019914548,0.081881533
Broome,6/1/2020,148,21307,0.006946074,0.08033241
Broome,7/1/2020,326,22333,0.014597233,0.06870229
Broome,8/1/2020,263,28916,0.009095311,0.062547674
Broome,9/1/2020,418,29146,0.014341591,0.049161365
Broome,10/1/2020,2009,55004,0.036524616,0.027822365
Broome,11/1/2020,656,23497,0.027918458,0.027765134
Cattaraugus,3/1/2020,7,163,0.042944785,0
Cattaraugus,4/1/2020,42,824,0.050970874,0.040816327
Cattaraugus,5/1/2020,40,3893,0.010274852,0.033707865
Cattaraugus,6/1/2020,34,7820,0.004347826,0.048780488
Cattaraugus,7/1/2020,35,7034,0.004975832,0.037974684
Cattaraugus,8/1/2020,48,8056,0.005958292,0.029126214
Cattaraugus,9/1/2020,73,7938,0.009196271,0.028673835
Cattaraugus,10/1/2020,270,11896,0.022696705,0.034608379
Cattaraugus,11/1/2020,129,5834,0.022111759,0.030973451
Cayuga,3/1/2020,3,246,0.012195122,0
Cayuga,4/1/2020,48,739,0.064952639,0.039215686
Cayuga,5/1/2020,41,3859,0.010624514,0.02173913
Cayuga,6/1/2020,27,7433,0.00363245,0.016806723
Cayuga,7/1/2020,25,7746,0.003227472,0.013888889
Cayuga,8/1/2020,36,8098,0.004445542,0.011111111
Cayuga,9/1/2020,41,10026,0.004089368,0.009049774
Cayuga,10/1/2020,232,15425,0.015040519,0.006622517
Cayuga,11/1/2020,179,7492,0.023892152,0.007911392
Chautauqua,3/1/2020,6,116,0.051724138,0.166666667
Chautauqua,4/1/2020,29,1091,0.026581118,0.028571429
Chautauqua,5/1/2020,50,4394,0.011379153,0.023529412
Chautauqua,6/1/2020,42,13226,0.003175563,0.023622047
Chautauqua,7/1/2020,104,12322,0.008440188,0.017316017
Chautauqua,8/1/2020,174,13816,0.012594094,0.009876543
Chautauqua,9/1/2020,197,14354,0.013724397,0.006644518
Chautauqua,10/1/2020,415,20067,0.02068072,0.003933137
Chautauqua,11/1/2020,222,15343,0.014469139,0.004035513
Chemung,3/1/2020,22,335,0.065671642,0
Chemung,4/1/2020,101,1282,0.078783151,0.016260163
Chemung,5/1/2020,14,4976,0.002813505,0.01459854
Chemung,6/1/2020,7,8211,0.000852515,0.013888889
Chemung,7/1/2020,19,9276,0.002048297,0.012269939
Chemung,8/1/2020,42,9364,0.004485263,0.009756098
Chemung,9/1/2020,355,12556,0.028273335,0.008928571
Chemung,10/1/2020,1292,22841,0.056564949,0.009179266
Chemung,11/1/2020,510,11280,0.045212766,0.011007621
Chenango,3/1/2020,26,95,0.273684211,0
Chenango,4/1/2020,73,715,0.102097902,0
Chenango,5/1/2020,34,3657,0.009297238,0.037593985
Chenango,6/1/2020,13,6559,0.001982009,0.04109589
Chenango,7/1/2020,63,5643,0.011164274,0.028708134
Chenango,8/1/2020,20,6520,0.003067485,0.026200873
Chenango,9/1/2020,24,6019,0.003987373,0.023715415
Chenango,10/1/2020,172,8223,0.02091694,0.016470588
Chenango,11/1/2020,76,3714,0.020463113,0.013972056
Clinton,3/1/2020,25,211,0.118483412,0
Clinton,4/1/2020,36,585,0.061538462,0.06557377
Clinton,5/1/2020,35,3371,0.010382676,0.041666667
Clinton,6/1/2020,5,7476,0.000668807,0.03960396
Clinton,7/1/2020,26,7528,0.003453773,0.031496063
Clinton,8/1/2020,24,7374,0.003254679,0.033112583
Clinton,9/1/2020,11,8927,0.001232217,0.030864198
Clinton,10/1/2020,108,13069,0.00826383,0.018518519
Clinton,11/1/2020,107,7471,0.014322045,0.013262599
Columbia,3/1/2020,31,375,0.082666667,0.032258065
Columbia,4/1/2020,171,1003,0.170488534,0.079207921
Columbia,5/1/2020,187,3051,0.06129138,0.100257069
Columbia,6/1/2020,77,6716,0.011465158,0.100858369
Columbia,7/1/2020,53,6799,0.007795264,0.090558767
Columbia,8/1/2020,50,7441,0.006719527,0.082601054
Columbia,9/1/2020,26,6705,0.003877703,0.078991597
Columbia,10/1/2020,141,10079,0.013989483,0.069293478
Columbia,11/1/2020,145,5630,0.025754885,0.061293984
Cortland,3/1/2020,8,350,0.022857143,0
Cortland,4/1/2020,20,793,0.025220681,0.035714286
Cortland,5/1/2020,13,2908,0.004470426,0.024390244
Cortland,6/1/2020,6,4942,0.001214083,0.021276596
Cortland,7/1/2020,44,5727,0.007682906,0.010989011
Cortland,8/1/2020,10,5510,0.001814882,0.00990099
Cortland,9/1/2020,94,7807,0.012040476,0.005128205
