Week Ending,Federal Provider Number,Provider Name,Submitted Data,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,One-Week Supply of N95 Masks,One-Week Supply of Surgical Masks,One-Week Supply of Eye Protection,One-Week Supply of Gowns,One-Week Supply of Gloves,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County
5/24/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,8,8,0,0,3,2,2,96,73,1,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,27.4,,Westchester
5/31/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,8,0,0,0,1,3,96,74,2,3,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,0,40.5,,Westchester
6/7/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,8,5,5,2,0,3,96,69,0,3,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,72.5,43.5,60,Westchester
6/14/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,8,0,5,0,0,3,96,66,1,4,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,75.8,45.5,60,Westchester
6/21/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,1,9,1,6,2,1,4,96,71,1,5,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,84.5,56.3,66.7,Westchester
6/28/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,1,7,0,0,4,96,73,2,7,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,95.9,54.8,57.1,Westchester
7/5/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,1,8,0,0,4,96,24,0,7,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,333.3,166.7,50,Westchester
7/12/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,3,11,0,0,4,96,70,1,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,157.1,57.1,36.4,Westchester
7/19/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,0,11,1,0,4,96,70,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,157.1,57.1,36.4,Westchester
7/26/20,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,Y,0,9,0,11,1,1,5,96,71,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,,,154.9,70.4,45.5,Westchester
