county,month,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate
Albany,2020-03-01,240,3704,0.0647948164146868,0.004166667
Albany,2020-04-01,964,6984,0.138029782359679,0.025747508
Albany,2020-05-01,678,14613,0.0463970437281872,0.052603613
Albany,2020-06-01,230,23788,0.00966874054144947,0.051136364
Albany,2020-07-01,403,27414,0.0147005179835121,0.045725646
Albany,2020-08-01,271,32030,0.00846081798314081,0.04379038
Albany,2020-09-01,347,30415,0.0114088443202367,0.039259496
Albany,2020-10-01,617,47692,0.0129371802398725,0.034666667
Albany,2020-11-01,779,33750,0.0230814814814815,0.029807905
Allegany,2020-03-01,9,135,0.0666666666666667,0.111111111
Allegany,2020-04-01,26,428,0.0607476635514019,0.057142857
Allegany,2020-05-01,13,1372,0.00947521865889213,0.041666667
Allegany,2020-06-01,13,4083,0.00318393338231692,0.032786885
Allegany,2020-07-01,13,3246,0.00400492914356131,0.027027027
Allegany,2020-08-01,15,4503,0.0033311125916056,0.02247191
Allegany,2020-09-01,30,4536,0.00661375661375661,0.033613445
Allegany,2020-10-01,229,8795,0.0260375213189312,0.040229885
Allegany,2020-11-01,296,5131,0.0576885597349445,0.054347826
Bronx,2020-03-01,8861,18157,0.488021148868205,0.029567769
Bronx,2020-04-01,28924,74898,0.386178536142487,0.091570729
Bronx,2020-05-01,7574,99691,0.0759747620146252,0.098503053
Bronx,2020-06-01,2292,137268,0.016697263746831,0.099871986
Bronx,2020-07-01,1975,139839,0.0141233847496049,0.09779148
Bronx,2020-08-01,2037,171837,0.0118542572321444,0.095019647
Bronx,2020-09-01,1506,170630,0.00882611498564145,0.093136978
Bronx,2020-10-01,2743,208777,0.0131384204198738,0.089336815
Bronx,2020-11-01,2800,116362,0.0240628383836648,0.08548508
Broome,2020-03-01,42,368,0.114130434782609,0.071428571
Broome,2020-04-01,257,2103,0.122206371849738,0.050167224
Broome,2020-05-01,275,13809,0.0199145484828735,0.081881533
Broome,2020-06-01,148,21307,0.00694607406016802,0.08033241
Broome,2020-07-01,326,22333,0.0145972327945193,0.06870229
Broome,2020-08-01,263,28916,0.00909531055471019,0.062547674
Broome,2020-09-01,418,29146,0.0143415906127771,0.049161365
Broome,2020-10-01,2009,55004,0.0365246163915352,0.027822365
Broome,2020-11-01,656,23497,0.0279184576754479,0.027765134
Cattaraugus,2020-03-01,7,163,0.0429447852760736,0
