month,county,residents_covid19_deaths_per_month,residents_covid19_cases_per_month,NH_monthly_fatality_rate,county_occupancy,county_cases,county_prevalence,NH_occupancy_rate,staff_flu_vaccination_rate,total_supply_ppe_monthly,total_shortage_stuff_monthly,ventilator_dependent_unit_monthly,monthly_new_positives,monthly_new_tests_performed,monthly_infection_rate,monthly_fatality_rate,election_result.x,election_result.y
5,Albany,42,130,0.323076923,1411,130,0.092133239,0.794672458,0.804545455,1,1,1,678,14613,0.046397044,0.052603613,D,D
6,Albany,4,11,0.363636364,1443,141,0.097713098,0.80029262,0.804545455,1,1,1,230,23788,0.009668741,0.051136364,D,D
7,Albany,4,14,0.285714286,1474,155,0.105156038,0.831885166,0.804545455,1,1,1,403,27414,0.014700518,0.045725646,D,D
8,Albany,6,9,0.666666667,1484,164,0.110512129,0.834838013,0.804545455,1,1,1,271,32030,0.008460818,0.04379038,D,D
9,Albany,0,0,NA,1475,164,0.111186441,0.838065125,0.804545455,1,1,1,347,30415,0.011408844,0.039259496,D,D
10,Albany,0,5,0,1519,169,0.111257406,0.850486332,0.804545455,1,1,1,NA,NA,NA,NA,D,D
5,Allegany,NA,NA,NA,NA,NA,NA,0.91875,0.7125,1,0,0,13,1372,0.009475219,0.041666667,R,R
6,Allegany,NA,NA,NA,326,0,0,0.905746487,0.7125,1,1,0,13,4083,0.003183933,0.032786885,R,R
7,Allegany,0,0,NA,327,0,0,0.889344262,0.7125,1,1,0,13,3246,0.004004929,0.027027027,R,R
8,Allegany,0,0,NA,330,0,0,0.902834016,0.7125,1,1,0,15,4503,0.003331113,0.02247191,R,R
9,Allegany,0,0,NA,328,0,0,0.903858436,0.7125,1,1,0,30,4536,0.006613757,0.033613445,R,R
10,Allegany,8,52,0.153846154,302,52,0.17218543,0.872555499,0.7125,1,1,0,NA,NA,NA,NA,R,R
5,Bronx,NA,NA,NA,NA,NA,NA,0.833069858,0.739555556,1,1,1,7574,99691,0.075974762,0.098503053,D,D
6,Bronx,NA,NA,NA,9266,1328,0.143319663,0.843669356,0.739555556,1,1,1,2292,137268,0.016697264,0.099871986,D,D
7,Bronx,4,29,0.137931034,9248,1357,0.146734429,0.812979529,0.739555556,1,1,1,1975,139839,0.014123385,0.09779148,D,D
8,Bronx,4,15,0.266666667,9057,1372,0.151485039,0.814529189,0.739555556,1,1,1,2037,171837,0.011854257,0.095019647,D,D
9,Bronx,3,10,0.3,9345,1382,0.14788657,0.826974466,0.739555556,1,1,1,1506,170630,0.008826115,0.093136978,D,D
10,Bronx,0,9,0,9386,1391,0.148199446,0.828657592,0.739555556,1,1,1,NA,NA,NA,NA,D,D
5,Broome,NA,NA,NA,NA,NA,NA,0.855472312,0.804545455,1,1,1,275,13809,0.019914548,0.081881533,R,R
6,Broome,9,38,0.236842105,1338,131,0.097907324,0.863571896,0.804545455,1,1,1,148,21307,0.006946074,0.08033241,R,R
7,Broome,8,51,0.156862745,1345,182,0.135315985,0.862923569,0.804545455,1,1,1,326,22333,0.014597233,0.06870229,R,R
8,Broome,12,25,0.48,1357,207,0.152542373,0.867263122,0.804545455,1,1,1,263,28916,0.009095311,0.062547674,R,R
9,Broome,1,0,Inf,1340,207,0.154477612,0.861014045,0.804545455,1,1,1,418,29146,0.014341591,0.049161365,R,R
10,Broome,2,98,0.020408163,1298,305,0.234976888,0.812528742,0.804545455,1,1,1,NA,NA,NA,NA,R,R
5,Cattaraugus,0,0,NA,448,0,0,0.834004602,0.856,1,0,0,40,3893,0.010274852,0.033707865,R,R
6,Cattaraugus,0,1,0,452,1,0.002212389,0.838097092,0.856,1,1,0,34,7820,0.004347826,0.048780488,R,R
7,Cattaraugus,0,0,NA,444,1,0.002252252,0.823502375,0.856,1,1,0,35,7034,0.004975832,0.037974684,R,R
8,Cattaraugus,0,1,0,449,2,0.004454343,0.849102331,0.856,1,1,0,48,8056,0.005958292,0.029126214,R,R
9,Cattaraugus,0,1,0,440,3,0.006818182,0.825646421,0.856,1,1,0,73,7938,0.009196271,0.028673835,R,R
10,Cattaraugus,1,20,0.05,432,23,0.053240741,0.763121573,0.856,1,1,0,NA,NA,NA,NA,R,R
5,Cayuga,NA,NA,NA,NA,NA,NA,0.86567029,0.695,1,1,0,41,3859,0.010624514,0.02173913,R,R
6,Cayuga,0,0,NA,466,0,0,0.875477285,0.695,1,1,0,27,7433,0.00363245,0.016806723,R,R
7,Cayuga,0,1,0,461,1,0.002169197,0.861949554,0.695,1,1,0,25,7746,0.003227472,0.013888889,R,R
8,Cayuga,0,0,NA,462,1,0.002164502,0.876520346,0.695,1,1,0,36,8098,0.004445542,0.011111111,R,R
9,Cayuga,0,0,NA,463,1,0.002159827,0.877077237,0.695,1,1,0,41,10026,0.004089368,0.009049774,R,R
10,Cayuga,0,2,0,457,3,0.006564551,0.883835877,0.695,1,1,0,NA,NA,NA,NA,R,R
5,Chautauqua,0,0,NA,825,0,0,0.891180006,0.911428571,1,1,0,50,4394,0.011379153,0.023529412,R,R
6,Chautauqua,0,1,0,846,1,0.001182033,0.903349291,0.911428571,1,1,0,42,13226,0.003175563,0.023622047,R,R
7,Chautauqua,0,0,NA,821,1,0.001218027,0.894561072,0.911428571,1,1,0,104,12322,0.008440188,0.017316017,R,R
8,Chautauqua,0,0,NA,830,1,0.001204819,0.894142505,0.911428571,1,1,0,174,13816,0.012594094,0.009876543,R,R
9,Chautauqua,0,0,NA,814,1,0.001228501,0.88734452,0.911428571,1,1,0,197,14354,0.013724397,0.006644518,R,R
10,Chautauqua,0,3,0,808,4,0.004950495,0.884831459,0.911428571,1,1,0,NA,NA,NA,NA,R,R
5,Chemung,NA,NA,NA,NA,NA,NA,0.906963195,0.6525,1,1,0,14,4976,0.002813505,0.01459854,R,R
6,Chemung,NA,NA,NA,NA,NA,NA,0.88870098,0.6525,1,1,0,7,8211,0.000852515,0.013888889,R,R
7,Chemung,NA,NA,NA,NA,NA,NA,0.808475972,0.6525,1,1,0,19,9276,0.002048297,0.012269939,R,R
8,Chemung,NA,NA,NA,NA,NA,NA,0.826142398,0.6525,1,1,0,42,9364,0.004485263,0.009756098,R,R
9,Chemung,NA,NA,NA,NA,NA,NA,0.860766233,0.6525,1,1,0,355,12556,0.028273335,0.008928571,R,R
10,Chemung,NA,NA,NA,NA,NA,NA,0.884954597,0.6525,1,1,0,NA,NA,NA,NA,R,R
5,Chenango,NA,NA,NA,423,4,0.009456265,0.7763063,0.928,1,1,0,34,3657,0.009297238,0.037593985,R,R
6,Chenango,0,0,NA,401,4,0.009975062,0.761934842,0.928,1,1,0,13,6559,0.001982009,0.04109589,R,R
7,Chenango,0,1,0,398,5,0.012562814,0.749699405,0.928,1,1,0,63,5643,0.011164274,0.028708134,R,R
8,Chenango,0,0,NA,396,5,0.012626263,0.751280891,0.928,1,1,0,20,6520,0.003067485,0.026200873,R,R
9,Chenango,0,0,NA,396,5,0.012626263,0.746710215,0.928,1,1,0,24,6019,0.003987373,0.023715415,R,R
10,Chenango,0,1,0,402,6,0.014925373,0.742808909,0.928,1,1,0,NA,NA,NA,NA,R,R
5,Clinton,0,0,NA,387,0,0,0.843508913,0.9775,1,1,0,35,3371,0.010382676,0.041666667,R,R
6,Clinton,0,0,NA,392,0,0,0.840474808,0.9775,1,1,0,5,7476,0.000668807,0.03960396,R,R
7,Clinton,0,1,0,385,1,0.002597403,0.835975012,0.9775,1,1,0,26,7528,0.003453773,0.031496063,R,R
8,Clinton,0,0,NA,382,1,0.002617801,0.817950656,0.9775,1,1,0,24,7374,0.003254679,0.033112583,R,R
9,Clinton,0,0,NA,382,1,0.002617801,0.81726647,0.9775,1,1,0,11,8927,0.001232217,0.030864198,R,R
10,Clinton,0,0,NA,382,1,0.002617801,0.819969372,0.9775,1,1,0,NA,NA,NA,NA,R,R
5,Columbia,NA,NA,NA,NA,NA,NA,0.781944444,0.866,1,0,0,187,3051,0.06129138,0.100257069,D,D
6,Columbia,6,31,0.193548387,401,67,0.167082294,0.713335959,0.866,1,1,0,77,6716,0.011465158,0.100858369,D,D
7,Columbia,0,1,0,431,68,0.157772622,0.740708158,0.866,1,1,0,53,6799,0.007795264,0.090558767,D,D
8,Columbia,0,1,0,451,69,0.152993348,0.759684874,0.866,1,0,0,50,7441,0.006719527,0.082601054,D,D
9,Columbia,0,0,NA,451,69,0.152993348,0.771778711,0.866,1,0,0,26,6705,0.003877703,0.078991597,D,D
10,Columbia,0,0,NA,450,69,0.153333333,0.774881828,0.866,1,1,0,NA,NA,NA,NA,D,D
5,Cortland,0,0,NA,335,0,0,0.846246612,0.973333333,1,0,0,13,2908,0.004470426,0.024390244,R,R
6,Cortland,0,0,NA,339,0,0,0.884727545,0.973333333,1,0,0,6,4942,0.001214083,0.021276596,R,R
7,Cortland,0,1,0,338,1,0.00295858,0.888849206,0.973333333,1,0,0,44,5727,0.007682906,0.010989011,R,R
8,Cortland,0,3,0,326,4,0.012269939,0.872095238,0.973333333,1,0,0,10,5510,0.001814882,0.00990099,R,R
9,Cortland,0,0,NA,323,4,0.012383901,0.872261905,0.973333333,1,0,0,94,7807,0.012040476,0.005128205,R,R
10,Cortland,0,0,NA,315,4,0.012698413,0.85109127,0.973333333,1,0,0,NA,NA,NA,NA,R,R
5,Delaware,NA,NA,NA,NA,NA,NA,0.752956393,0.586666667,1,1,0,20,2342,0.00853971,0.024691358,R,R
6,Delaware,0,0,NA,308,0,0,0.852211136,0.586666667,1,1,0,10,4660,0.002145923,0.043956044,R,R
7,Delaware,0,0,NA,310,0,0,0.859950881,0.586666667,1,1,0,12,3765,0.003187251,0.038834951,R,R
